architecture,accuracy_test_1273,mean_latency_s_test_1273,groq_calls_per_q,faithfulness_golden_234,hallucination_rate_golden_234,context_precision_golden_234,context_recall_golden_234,answer_correctness_golden_234,answer_relevance_golden_234,lime_shap_spearman,n_explainability_questions
NoRAG,0.7737627651217597,0.2955984468078014,1.0,,,,,0.8738074347344713,0.5976971700606776,,0
Naive,0.7572663000785546,0.4436558864290847,1.0,0.1308175399479747,0.8956521739130435,0.328532608674367,0.41239316239316237,0.8376479070859398,0.5960520825068125,,0
Sparse,0.7580518460329929,0.43538607917989414,1.0,0.04011853668506029,0.9656652360515021,0.0810883620625666,0.1072961373390558,0.8383628162742659,0.5971018652426145,,0
Hybrid,0.7659073055773763,0.4432270335851461,1.0,0.0943719806763285,0.9173913043478261,0.27973785471783985,0.3482905982905983,0.8273215279698959,0.5966131168647186,,0
MultiHop,0.795758051846033,0.6599697555413138,3.0,0.28331669527790215,0.7370689655172413,0.3737426338573044,0.7115384615384616,0.8684697826560158,0.595453566104136,0.6324688371330164,134
Adaptive_A,0.786331500392773,0.6963811892743946,1.8059701492537314,0.19655971115198584,0.8369098712446352,0.35981842775854456,0.5705128205128205,0.8473385138656383,0.5970769627100695,0.2548755015312156,134
Adaptive_B,0.7831893165750197,0.5739680656933541,2.424980361351139,0.27561454884984293,0.7529411764705882,0.379194580138876,0.7543859649122807,0.8669456792844018,0.5932094616988005,0.4506278360405702,134
